Name;11Konzentration;12InnereBalance;13GuteNacht;14SchlafteeMagenempfindliche;15GuteNachtstark;21Herzallgemein;22Kreislauf;23StarkeDurchblutungsstörung;24HoherBlutdruck;25NiedrigerBlutdruck;26Anämie;27Hämorrhoiden;28Detox1;31Durchatmen;32Bronchialasthma;33Bronchitis,Schleim;34TrockenerHusten;35Kopfdampfbad;36Gurgeltee;41Basentee;42Vitalität;43Kopfgut;44Schilddrüseniedr.Blutdruck;45Schilddrüsehoh.Blutdruck;46Schilddrüsenunterfunktion;47GrippeFieber;51WasserMarsch;52Nierenentz.;53Blasenschwäche;54Blasenentz.Reizblase;55Sitzbad;61Gastritis;610Diabatesniedr.Blutdruck;611Diabetes;612DiabetesTyp1;613Leibumschlag;62MagenBauchspeichelDarm;63Lebergut;64Galle;65TrägeVerdauung;66KrampfartigeVerstopfung;67Detox2;68Meteorismus;69Durchfall;71Rheuma;72Arthrose;73Gicht;74Rückenstark;76Arnika+EnzianEinreibung;81Hautschön;82Hautausschlag;84Schuppenflechte;85Haarausfall;86Hautwaschung;91Wechseljahre;92PMS;93Schwangerschaft;94Stillen;95Augenstark;96Augenbad;Galke
Holunderblüten;0;0;0;0;0;0;0;7,1;0;0;0;0;0;8,3;0;7,1;0;0;12,9;7,8;4;0;0;0;0;7,6;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;7,8;0;0;0;0;8,2;0;0;0;0;0;0;0;819007
Hopfenblüten;0;0;7;7,6;6,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;819202
Johanniskraut;8,4;8,8;10,1;10,8;9;0;0;8,4;0;9,6;0;0;0;0;0;0;0;0;0;9,1;4,8;0;0;0;0;0;0;0;9,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,2;0;0;0;0;9,6;0;0;0;0;0;10,3;10,3;821802
Kamillenblüten;0;0;0;7;0;0;0;0;5,4;0;0;0;6,4;6,3;6;0;0;23,2;9,8;5,9;6,2;0;0;5,4;0;5,8;0;6,5;6;6,4;13,8;5,6;6,3;0;0;13,4;6,5;6,3;6,3;0;0;0;5,5;6,3;6,4;0;0;0;0;5,9;6,7;0;0;8,2;0;0;0;5,6;0;0;823001
Königskerzenblüten;0;0;5;0;0;4,8;0;0;0;0;0;0;0;4,9;4,6;4,2;4,9;8,9;7,6;4,6;2,4;0;0;0;0;4,5;0;0;0;4,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;0;0;0;0;0;0;133001
Kornblumenblütenblätter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;824201
Kümmel;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;30,9;15,1;0;0;15,9;0;0;12,6;14,4;0;0;0;0;0;0;0;0;0;0;0;0;14,8;12,9;0;0;824401
Labkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,2;0;0;0;0;0;0;0;9,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18,3;10,3;10,1;0;0;0;0;0;0;0;0;826702
Lavendelblüten;0;0;7;0;6,3;0;0;0;0;0;0;0;0;6,8;0;0;0;25;10,6;0;0;6;0;0;0;0;0;0;0;0;0;0;6,8;0;0;7,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;824701
Lindenblütensilber;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;825601
Löwenzahnkraut;0;0;0;0;0;0;6,7;0;0;6,7;0;6,5;6,9;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;0;0;6,8;6,4;0;0;7;20,5;20,5;7,4;5,3;6,6;0;0;0;6,9;7;0;0;0;0;0;0;0;6,7;0;0;0;0;0;826202
Mädesüßblüten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,9;9,8;10;0;0;0;0;0;0;0;0;0;0;0;0;0;863407
Majoran;0;0;0;7,6;0;0;0;0;0;0;0;0;0;6,8;6,5;0;0;12,5;0;0;0;0;0;0;0;0;0;0;0;0;0;6,1;0;0;0;0;7;0;0;0;0;0;5,9;6,7;0;0;0;0;0;0;0;0;0;0;0;0;6,9;0;0;0;827607
Malvenblätter;0;0;0;0;0;4,8;0;0;0;0;0;0;0;4,9;0;4,2;4,9;0;0;4,6;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,6;0;0;0;0;0;0;0;0;0;0;827402
Melissenblätter;5,9;6,2;7;7,6;6,3;0;0;0;0;0;0;0;0;0;6,5;0;0;0;0;0;0;6;0;0;0;0;6,4;0;0;0;0;0;0;0;0;0;0;0;0;7,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;828002
Mistelkraut;0;0;0;0;0;12,6;0;10,9;10,9;0;0;12,1;0;0;0;0;0;0;0;0;0;0;10,3;10,9;0;0;0;0;0;0;0;0;0;11,9;0;0;0;0;0;0;0;0;0;0;12,9;0;0;12;0;0;0;0;0;0;12,5;10,4;0;0;0;0;828502
Petersilienwurzel;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,6;0;0;0;0;0;11,2;10,5;0;0;0;0;0;0;0;0;0;0;0;0;0;10,6;0;0;0;0;0;0;0;0;0;0;0;0;837902
Pfefferminzblätter;5,9;0;0;0;0;0;0;0;0;0;0;0;6,9;0;0;0;0;0;0;0;0;6;0;0;6,7;0;0;0;0;0;0;6,1;0;0;0;7,2;7;0;0;0;0;6,6;0;0;0;0;0;0;0;0;0;0;0;0;6,7;0;0;0;0;0;838002
Preiselbeerblätter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,5;0;0;0;0;0;0;11,4;10,6;11,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;839602
Ringelblumenblüten;2,9;0;0;0;0;0;0;2,9;0;0;3;0;0;0;0;0;0;0;0;6,4;5;0;0;0;3,3;0;0;3,5;0;0;7,4;0;0;0;0;0;0;0;0;0;0;0;0;0;3,5;0;0;3,2;0;0;0;3,5;3,4;4,4;0;0;3,4;0;3,6;3,6;843302
Rosmarin;21,8;11,5;0;0;0;0;12,4;0;10,9;0;11,3;0;0;0;0;0;0;0;0;0;0;11,1;10,3;10,9;0;0;0;0;0;12,7;0;0;0;0;0;0;0;0;0;0;9,8;0;0;0;12,9;0;0;0;0;0;0;0;12,5;0;0;0;0;0;13,4;13,4;844002
Salbeiblätter;7,1;0;0;0;0;8,2;0;0;7,1;8,2;0;0;0;0;7,9;0;0;0;25,8;7,8;4;0;6,7;7,1;0;0;0;0;0;8,3;0;0;8,3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,7;0;0;0;0;0;0;845502
Schachtelhalmkraut;0;0;0;0;0;0;0;7,1;0;0;0;7,9;8,4;0;7,9;0;0;0;0;7,8;4;0;0;0;0;7,6;7,8;0;0;8,3;36,2;0;0;0;0;0;0;8,3;8,3;0;0;8,1;0;0;8,4;0;8,5;7,8;0;7,8;8,8;8,6;8,2;21,4;0;0;0;0;8,8;8,8;845602
Schafgarbenkraut;0;0;0;0;0;9,7;9,5;0;8,4;0;0;9,3;9,9;0;0;0;0;0;0;0;0;8,5;0;8,4;0;0;0;0;0;0;21,3;0;9,8;0;9,4;10,3;0;9,8;9,8;0;0;9,5;8,4;0;0;0;0;0;0;0;0;0;0;0;9,6;8;0;0;10,3;10,3;845702
Schlehdornblüten;0;0;0;0;0;0;9,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,6;9;0;0;0;0;0;0;0;9,1;0;0;0;0;0;10,6;0;0;0;0;0;9,8;10;0;0;0;0;0;0;0;9,6;0;0;0;0;0;844907
Spitzwegerichkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;6,8;0;5,9;6,8;0;0;0;0;0;0;0;0;6,3;0;0;6,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;846502
Stiefmütterchenkraut;0;0;0;0;0;0;0;0;0;0;0;0;6,9;0;0;5,9;6,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,9;0;0;0;0;7,2;7,1;0;8,8;0;0;0;0;0;0;847202
Süßholzwurzel;0;13,2;0;0;0;0;0;0;0;0;13;0;0;0;0;12,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;15,1;0;0;15,9;11,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,8;12,9;0;0;847002
Taubnesselkraut;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,4;6,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;848502
Tausendgüldenkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,4;0;0;0;0;8,5;0;0;9;0;0;7,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;848002
Thymian;0;0;0;0;0;0;0;0;0;0;0;0;0;8,3;7,9;7,1;8,3;15,2;12,9;7,8;4;0;0;0;0;7,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;849107
Tormentillwurzel;0;0;0;0;0;0;0;0;0;0;14,3;15,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,9;0;0;0;0;0;0;0;0;0;0;0;13,3;0;0;0;0;850102
Vogelknöterichkraut;0;0;0;0;0;9,7;0;8,4;0;0;0;0;0;0;0;0;0;0;0;0;4,8;0;0;0;0;0;9,2;10;0;9,8;0;0;0;0;9,4;0;0;0;0;0;0;0;0;0;9,9;0;0;9,2;0;0;0;0;0;0;0;0;0;0;0;0;854502
Wacholderbeeren;0;0;0;0;0;0;0;0;0;12,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11,9;12,2;0;0;12,7;12,7;0;0;12,3;0;0;12,9;12,7;12,9;0;0;11,9;0;13,1;0;0;0;0;0;0;0;0;854701
Weißdornblätter;8,4;17,6;0;0;0;9,7;9,5;0;8,4;0;0;0;0;0;9,3;0;0;0;0;0;0;8,5;7,9;8,4;9,6;9;9,2;0;0;0;0;0;0;0;0;0;0;9,8;9,8;0;0;9,5;0;0;0;0;0;0;0;0;0;0;0;0;9,6;0;0;0;0;0;856202
Wermutkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;856502
Ysopkraut;0;0;0;0;0;9,7;9,5;0;8,4;9,6;0;0;0;0;0;8,4;0;0;15,2;9,1;4,8;0;7,9;8,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;858002
Zichorienwurzel;0;0;0;0;0;0;0;0;0;0;0;0;16,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,1;0;0;14,3;0;0;15,5;0;0;0;0;0;0;15,6;0;0;0;0;0;0;0;15,1;0;0;0;0;0;0;0;0;0;0;855502
Griechischer Bergtee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;837402
Alantwurzel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;861602
Passionsblumenkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;837202
Hibiskusblüten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;818502
Rotkleeblüten;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129807
Geißfußkraut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;801302
